"","GEO","Sex","Age","Degree","VALUE","Year","LFS"
"1","Canada","Males","15 years and over","Total, all education levels",9986.1,"2019","Employment"
"2","Canada","Females","15 years and over","Total, all education levels",9069.6,"2019","Employment"
