"","Degree","LFS","VALUE"
"1","0 to 8  years","Employment rate",20
"2","Some high school","Employment rate",38.7
"3","High school graduate","Employment rate",57.1
"4","Some postsecondary","Employment rate",59
"5","Postsecondary certificate or diploma","Employment rate",69.3
"6","University degree","Employment rate",73.9
